,fighter,kd,str,td,sub,weight_class
0,Alex Caceres,0.0,43.75,0.0,0.0,2
1,Andrei Arlovski,0.0,27.0,0.0,0.0,4
2,Charles Oliveira,0.0,18.5,0.5,0.5,2
3,Clay Guida,0.0,27.5,1.25,0.0,2
4,Darren Elkins,0.0,33.75,1.25,0.5,2
5,Demian Maia,0.0,21.5,1.0,0.5,2
6,Derrick Lewis,0.0,16.25,0.0,0.0,4
7,Diego Sanchez,0.0,29.0,0.5,0.0,2
8,Donald Cerrone,0.5,31.25,0.0,0.0,2
9,Dustin Poirier,0.0,36.75,0.5,0.0,2
10,Edson Barboza,0.5,39.5,0.0,0.0,2
11,Francisco Trinaldo,0.0,30.75,0.5,0.25,2
12,Frank Mir,0.0,4.5,0.0,0.5,4
13,Frankie Edgar,0.0,62.5,1.5,0.0,2
14,Gleison Tibau,0.0,18.5,2.0,0.25,2
15,Jeremy Stephens,0.5,38.5,0.0,0.0,2
17,Jim Miller,0.0,24.25,0.5,0.5,2
18,Joe Lauzon,0.0,24.0,0.5,0.5,2
19,Matt Brown,0.0,27.5,0.5,0.5,2
20,Max Holloway,0.0,102.5,0.0,0.0,2
21,Michael Bisping,0.0,47.0,0.0,0.0,3
22,Michael Johnson,0.25,43.25,0.5,0.0,2
23,Nate Diaz,0.0,37.0,0.25,0.5,2
24,Neil Magny,0.0,32.75,1.0,0.0,2
25,Ovince Saint Preux,0.0,22.5,0.0,0.0,3
26,Rafael Dos Anjos,0.0,41.0,1.0,0.0,2
27,Thiago Alves,0.5,36.25,0.25,0.0,2
28,Tim Means,0.0,46.0,0.25,0.0,2
